epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4642,0.97443,2.25498,1.38636,0.52578,0.36814,0.36704,0.26966,1.04587,4.00839,1.60966,0.000234098,0.000234098,0.000234098
2,37.1522,1.04664,1.71204,1.42273,0.18602,0.39847,0.19081,0.12473,1.30241,4.61585,2.01752,0.000467425,0.000467425,0.000467425
3,51.531,1.12512,1.80499,1.4963,0.39377,0.27928,0.21604,0.13998,1.47371,5.88275,2.15791,0.000696038,0.000696038,0.000696038
4,66.1937,1.12982,1.65498,1.47481,0.36885,0.38747,0.33946,0.21509,1.25265,3.56883,1.79068,0.000692794,0.000692794,0.000692794
5,81.0531,1.102,1.56442,1.4712,0.56293,0.41991,0.49156,0.33294,1.19917,2.4007,1.69284,0.000685726,0.000685726,0.000685726
6,95.2071,1.07043,1.50465,1.44436,0.43832,0.45874,0.44466,0.30188,1.21942,2.38738,1.71652,0.000678657,0.000678657,0.000678657
7,109.267,1.04136,1.42353,1.42947,0.4985,0.46047,0.47828,0.34638,1.12576,2.12604,1.55494,0.000671588,0.000671588,0.000671588
8,123.998,1.04123,1.40441,1.41772,0.53372,0.62746,0.6195,0.45648,1.04206,1.415,1.50337,0.00066452,0.00066452,0.00066452
9,139.144,1.0241,1.37818,1.39578,0.5296,0.57906,0.56379,0.41743,1.03889,1.82384,1.47609,0.000657451,0.000657451,0.000657451
10,153.816,0.979,1.26269,1.37428,0.58016,0.57784,0.59766,0.45847,0.9891,1.52535,1.46286,0.000650383,0.000650383,0.000650383
11,168.536,0.97132,1.28325,1.38048,0.63476,0.53069,0.57449,0.41425,1.08904,1.96919,1.54565,0.000643314,0.000643314,0.000643314
12,183.042,0.98064,1.20291,1.38089,0.55009,0.64976,0.65326,0.4861,0.98231,1.4094,1.43599,0.000636245,0.000636245,0.000636245
13,197.559,0.92961,1.1244,1.33562,0.60362,0.64114,0.68226,0.51895,0.96777,1.31383,1.42233,0.000629177,0.000629177,0.000629177
14,212.199,0.90961,1.12127,1.32864,0.64831,0.70893,0.73594,0.55365,0.9781,1.09671,1.40723,0.000622108,0.000622108,0.000622108
15,226.726,0.91581,1.0708,1.33145,0.63306,0.63944,0.7017,0.52909,0.96991,1.3264,1.40957,0.00061504,0.00061504,0.00061504
16,241.573,0.94294,1.09374,1.34508,0.61806,0.64659,0.70322,0.53448,0.95451,1.2474,1.41613,0.000607971,0.000607971,0.000607971
17,257.563,0.88718,1.02496,1.30602,0.53336,0.67526,0.68407,0.51685,0.99335,1.49916,1.47402,0.000600902,0.000600902,0.000600902
18,273.081,0.90962,1.05383,1.33994,0.64971,0.67179,0.70916,0.54821,0.94517,1.22256,1.41291,0.000593834,0.000593834,0.000593834
19,288.975,0.88838,1.01003,1.32269,0.69804,0.64551,0.70456,0.54747,0.95561,1.20485,1.40234,0.000586765,0.000586765,0.000586765
20,304.887,0.88039,1.03177,1.30302,0.69886,0.64777,0.70168,0.55471,0.89754,1.20172,1.354,0.000579697,0.000579697,0.000579697
21,320.91,0.85995,0.94206,1.28326,0.69396,0.68589,0.73742,0.57085,0.91442,0.99612,1.37452,0.000572628,0.000572628,0.000572628
22,337.01,0.88958,0.97876,1.31158,0.71026,0.7277,0.78413,0.6053,0.91194,1.02558,1.37905,0.000565559,0.000565559,0.000565559
23,354.005,0.84591,0.89439,1.26209,0.73995,0.73171,0.78923,0.61757,0.8909,0.92278,1.35639,0.000558491,0.000558491,0.000558491
24,369.601,0.83226,0.8924,1.25763,0.70246,0.70208,0.7491,0.58314,0.91752,1.09576,1.36378,0.000551422,0.000551422,0.000551422
25,384.55,0.84518,0.87239,1.27241,0.7655,0.69689,0.77918,0.61227,0.90989,0.97979,1.35405,0.000544354,0.000544354,0.000544354
26,399.682,0.81999,0.86789,1.25206,0.74761,0.74822,0.8012,0.62718,0.88516,0.94737,1.34024,0.000537285,0.000537285,0.000537285
27,415.76,0.82328,0.91248,1.27323,0.74613,0.70281,0.78085,0.6094,0.88106,0.99111,1.33313,0.000530216,0.000530216,0.000530216
28,430.627,0.82688,0.83485,1.24958,0.80058,0.74082,0.81951,0.64126,0.87389,0.85809,1.34274,0.000523148,0.000523148,0.000523148
29,445.392,0.80897,0.85746,1.24278,0.79514,0.73563,0.81088,0.62912,0.90283,0.88542,1.38108,0.000516079,0.000516079,0.000516079
30,460,0.79629,0.8525,1.24041,0.76102,0.72451,0.78626,0.62441,0.85344,0.97839,1.31042,0.000509011,0.000509011,0.000509011
