epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4036,0.95066,2.32406,1.3618,0.39388,0.44268,0.32934,0.22753,1.05457,2.63688,1.53538,0.000234222,0.000234222,0.000234222
2,242.963,1.05539,1.75569,1.4259,0.2668,0.25639,0.19857,0.12894,1.29772,4.32482,1.89906,0.000467547,0.000467547,0.000467547
3,363.555,1.10879,1.83278,1.47873,0.23059,0.42075,0.24023,0.14719,1.39602,4.89284,1.89788,0.00069616,0.00069616,0.00069616
4,565.713,1.14917,1.72738,1.48448,0.24531,0.40596,0.26111,0.16816,1.27487,5.24032,1.82556,0.000692794,0.000692794,0.000692794
5,692.403,1.08821,1.68329,1.44603,0.3917,0.40525,0.30892,0.21327,1.15851,4.06993,1.60701,0.000685726,0.000685726,0.000685726
6,815.864,1.06843,1.61424,1.41437,0.56362,0.37148,0.39556,0.25463,1.21408,2.86409,1.71948,0.000678657,0.000678657,0.000678657
7,951.651,1.07199,1.54956,1.42741,0.616,0.42741,0.45591,0.31301,1.13642,2.5402,1.62127,0.000671588,0.000671588,0.000671588
8,1100.99,1.0518,1.41776,1.41357,0.63186,0.52314,0.54219,0.39961,1.04505,1.81466,1.51613,0.00066452,0.00066452,0.00066452
9,1224.08,0.99284,1.3738,1.38268,0.51418,0.57876,0.53169,0.36852,1.11803,1.81745,1.56794,0.000657451,0.000657451,0.000657451
10,1330.83,1.01695,1.38985,1.3828,0.63466,0.59138,0.61254,0.43769,1.04234,1.4888,1.46492,0.000650383,0.000650383,0.000650383
11,1482.03,0.98351,1.26545,1.37366,0.61313,0.60082,0.63867,0.47252,0.99993,1.35422,1.45099,0.000643314,0.000643314,0.000643314
12,1608.79,0.9475,1.2507,1.35436,0.56509,0.56969,0.58406,0.43139,0.97567,1.5863,1.42989,0.000636245,0.000636245,0.000636245
13,1752.22,0.93465,1.16033,1.34619,0.6291,0.59666,0.65182,0.48722,0.98959,1.44384,1.44379,0.000629177,0.000629177,0.000629177
14,1892.48,0.93399,1.17167,1.35299,0.67966,0.61462,0.67485,0.50479,0.98715,1.69844,1.43898,0.000622108,0.000622108,0.000622108
15,1976.62,0.92008,1.14755,1.33606,0.71889,0.65126,0.6856,0.51569,0.93764,1.44587,1.38405,0.00061504,0.00061504,0.00061504
16,2093.94,0.92627,1.12689,1.3448,0.66291,0.51844,0.56718,0.41685,1.03171,1.8056,1.49576,0.000607971,0.000607971,0.000607971
