epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9764,0.95066,2.32406,1.3618,0.4394,0.47229,0.34362,0.23998,1.04699,2.56265,1.48614,0.000234222,0.000234222,0.000234222
2,36.8852,1.05539,1.75569,1.4259,0.26775,0.26069,0.20676,0.13318,1.36126,4.26209,1.91897,0.000467547,0.000467547,0.000467547
3,52.3372,1.10879,1.83278,1.47873,0.31844,0.34627,0.27328,0.16626,1.43598,3.47754,1.93042,0.00069616,0.00069616,0.00069616
4,67.6546,1.14917,1.72738,1.48448,0.3443,0.35317,0.32739,0.21611,1.2801,4.72472,1.80414,0.000692794,0.000692794,0.000692794
5,83.4677,1.08821,1.68329,1.44603,0.43896,0.38588,0.33096,0.23247,1.17215,4.02629,1.60676,0.000685726,0.000685726,0.000685726
6,99.1695,1.06843,1.61424,1.41437,0.58088,0.39498,0.44514,0.29376,1.21169,2.81883,1.69572,0.000678657,0.000678657,0.000678657
7,114.995,1.07199,1.54956,1.42741,0.63402,0.43068,0.46474,0.31936,1.1678,2.65011,1.65517,0.000671588,0.000671588,0.000671588
8,130.78,1.0518,1.41776,1.41357,0.64738,0.50694,0.55195,0.40919,1.03515,1.69785,1.50043,0.00066452,0.00066452,0.00066452
9,146.571,0.99284,1.3738,1.38268,0.51826,0.57777,0.5404,0.37471,1.13598,1.83998,1.5688,0.000657451,0.000657451,0.000657451
10,162.267,1.01695,1.38985,1.3828,0.5993,0.59955,0.62817,0.44398,1.0716,1.39823,1.49131,0.000650383,0.000650383,0.000650383
11,178.218,0.98351,1.26545,1.37366,0.68463,0.59144,0.6576,0.48872,1.00464,1.2754,1.44484,0.000643314,0.000643314,0.000643314
12,194.032,0.9475,1.2507,1.35436,0.6204,0.56897,0.60526,0.44471,0.99423,1.55962,1.43038,0.000636245,0.000636245,0.000636245
13,209.769,0.93465,1.16033,1.34619,0.64271,0.61338,0.68206,0.50584,1.00204,1.41976,1.44625,0.000629177,0.000629177,0.000629177
