epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1041.66,0.3175,0.2304,0.86655,0.87286,0.76006,0.83377,0.67428,0.80861,0.86152,1.30799,7.7826e-05,7.7826e-05,7.7826e-05
92,1058.13,0.3104,0.21317,0.86852,0.88645,0.73244,0.83584,0.67673,0.79329,0.91076,1.29176,7.07574e-05,7.07574e-05,7.07574e-05
93,1074.39,0.29926,0.19622,0.85905,0.82041,0.74897,0.83375,0.67176,0.79756,0.84741,1.29759,6.36888e-05,6.36888e-05,6.36888e-05
94,1089.91,0.29175,0.19397,0.85855,0.84583,0.73899,0.83605,0.67289,0.79571,0.95848,1.32101,5.66202e-05,5.66202e-05,5.66202e-05
95,1101.94,0.28575,0.18503,0.84765,0.84928,0.74292,0.84354,0.67902,0.79282,0.8668,1.32455,4.95516e-05,4.95516e-05,4.95516e-05
96,1111.43,0.2897,0.19506,0.86167,0.81043,0.78377,0.84707,0.68739,0.79256,0.83972,1.33031,4.2483e-05,4.2483e-05,4.2483e-05
97,1121.57,0.27438,0.17971,0.84878,0.8361,0.77458,0.8484,0.68415,0.80156,0.82697,1.32601,3.54144e-05,3.54144e-05,3.54144e-05
98,1131.85,0.2794,0.18816,0.85173,0.8668,0.7533,0.85011,0.68899,0.80029,0.83359,1.33254,2.83458e-05,2.83458e-05,2.83458e-05
99,1142.03,0.27124,0.17575,0.84902,0.86832,0.75076,0.8476,0.68555,0.80212,0.8259,1.33997,2.12772e-05,2.12772e-05,2.12772e-05
100,1152.32,0.27095,0.17727,0.84595,0.88017,0.74761,0.84889,0.68632,0.79662,0.81693,1.33764,1.42086e-05,1.42086e-05,1.42086e-05
