epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.88589,0.93271,3.35619,1.2771,0.01314,0.84451,0.17728,0.12777,0.94155,3.21426,1.24725,0.000234222,0.000234222,0.000234222
2,10.466,0.96814,2.28424,1.28942,0.53839,0.43178,0.46954,0.33656,1.02097,2.07569,1.29716,0.000466378,0.000466378,0.000466378
3,14.9681,0.94952,1.94649,1.26716,0.57067,0.4885,0.49463,0.35959,0.98049,2.07033,1.27625,0.000692644,0.000692644,0.000692644
4,19.36,0.96027,1.77473,1.26418,0.49343,0.57394,0.55177,0.40409,1.05023,1.93386,1.31424,0.000687493,0.000687493,0.000687493
5,24.0771,0.92443,1.67173,1.23342,0.54851,0.60517,0.56817,0.39868,1.03464,1.75953,1.29672,0.000678657,0.000678657,0.000678657
6,28.9715,0.90441,1.56399,1.21103,0.7278,0.6218,0.69484,0.50777,1.01987,1.49236,1.27212,0.000669821,0.000669821,0.000669821
7,33.9421,0.9084,1.4896,1.21493,0.62908,0.61246,0.65891,0.48225,1.03501,1.54171,1.28204,0.000660986,0.000660986,0.000660986
8,38.5722,0.9012,1.42459,1.19669,0.63141,0.62892,0.66725,0.49073,1.00243,1.58662,1.24113,0.00065215,0.00065215,0.00065215
9,43.4087,0.87624,1.36614,1.19099,0.68484,0.63575,0.70544,0.52707,0.95488,1.44538,1.20538,0.000643314,0.000643314,0.000643314
10,48.0308,0.888,1.33078,1.18319,0.64525,0.71269,0.73073,0.5424,1.01205,1.34503,1.2587,0.000634478,0.000634478,0.000634478
11,52.4606,0.8623,1.23975,1.18269,0.64027,0.65045,0.63386,0.47011,0.96374,1.64444,1.23297,0.000625642,0.000625642,0.000625642
12,57.0417,0.83922,1.19077,1.16961,0.64372,0.67668,0.71962,0.54945,0.93866,1.31115,1.19823,0.000616807,0.000616807,0.000616807
13,61.6827,0.82342,1.15957,1.15513,0.71074,0.7043,0.72979,0.55172,0.92412,1.3329,1.18535,0.000607971,0.000607971,0.000607971
14,66.2906,0.81671,1.13567,1.15691,0.75073,0.67975,0.75597,0.57252,0.94281,1.1602,1.20171,0.000599135,0.000599135,0.000599135
15,70.869,0.81331,1.0727,1.15084,0.66593,0.73456,0.7412,0.55956,0.92249,1.17069,1.20109,0.0005903,0.0005903,0.0005903
16,75.5012,0.82811,1.07614,1.16392,0.68633,0.68144,0.72974,0.55088,0.92869,1.38824,1.21628,0.000581464,0.000581464,0.000581464
17,80.1449,0.77097,0.99431,1.12347,0.77155,0.72464,0.79006,0.59775,0.95894,1.03645,1.22197,0.000572628,0.000572628,0.000572628
18,84.7403,0.79869,0.98649,1.13637,0.69158,0.69978,0.73546,0.55369,0.93439,1.29101,1.20523,0.000563792,0.000563792,0.000563792
19,89.3155,0.79178,0.96431,1.12252,0.70076,0.73609,0.77472,0.59055,0.8907,1.16906,1.18122,0.000554956,0.000554956,0.000554956
20,94.0831,0.78248,0.96602,1.1206,0.78363,0.74632,0.8082,0.6072,0.94017,1.13292,1.20542,0.000546121,0.000546121,0.000546121
21,98.7355,0.76717,0.9295,1.10639,0.75584,0.75216,0.80133,0.62071,0.89618,1.01911,1.16828,0.000537285,0.000537285,0.000537285
22,103.406,0.75869,0.88601,1.10816,0.71461,0.75478,0.77562,0.58256,0.92662,1.09064,1.18782,0.000528449,0.000528449,0.000528449
23,108.065,0.75433,0.86395,1.09986,0.8333,0.68967,0.792,0.59954,0.95526,1.062,1.20602,0.000519613,0.000519613,0.000519613
24,112.694,0.75879,0.88782,1.09926,0.7417,0.76678,0.804,0.60524,0.9227,0.95978,1.1894,0.000510778,0.000510778,0.000510778
25,117.751,0.73992,0.86077,1.10499,0.77571,0.76461,0.81846,0.61238,0.91613,0.91412,1.18333,0.000501942,0.000501942,0.000501942
26,122.35,0.73745,0.85929,1.09507,0.77228,0.76766,0.80101,0.6161,0.907,1.07292,1.20427,0.000493106,0.000493106,0.000493106
27,126.871,0.73303,0.81142,1.08847,0.77652,0.76806,0.81541,0.6292,0.89345,0.96246,1.18005,0.000484271,0.000484271,0.000484271
28,131.335,0.73727,0.832,1.09059,0.77378,0.73547,0.77666,0.5917,0.90897,1.02948,1.19077,0.000475435,0.000475435,0.000475435
29,135.943,0.73139,0.83696,1.08816,0.76241,0.72589,0.77534,0.59787,0.88396,0.99986,1.16987,0.000466599,0.000466599,0.000466599
30,140.599,0.71951,0.77591,1.08238,0.81785,0.78774,0.84351,0.63727,0.89078,0.93265,1.18624,0.000457763,0.000457763,0.000457763
31,145.153,0.7288,0.77166,1.08704,0.67667,0.7718,0.79765,0.60694,0.90914,1.0757,1.2093,0.000448928,0.000448928,0.000448928
32,149.628,0.71344,0.7753,1.07769,0.78051,0.75482,0.8219,0.62458,0.8878,0.94399,1.18436,0.000440092,0.000440092,0.000440092
33,154.439,0.70817,0.75647,1.0766,0.79232,0.76648,0.81646,0.62868,0.85838,0.88049,1.15678,0.000431256,0.000431256,0.000431256
34,159.075,0.69642,0.71352,1.06376,0.80273,0.75087,0.80677,0.62429,0.91767,0.98448,1.19181,0.00042242,0.00042242,0.00042242
35,163.692,0.69133,0.71965,1.06443,0.81189,0.78712,0.82486,0.63887,0.87518,0.86444,1.17426,0.000413584,0.000413584,0.000413584
36,168.326,0.69397,0.71943,1.06577,0.76683,0.7867,0.79825,0.62393,0.86821,0.9264,1.16608,0.000404749,0.000404749,0.000404749
37,172.977,0.68847,0.68234,1.0484,0.80008,0.77842,0.82556,0.63977,0.86426,0.8666,1.17341,0.000395913,0.000395913,0.000395913
38,177.69,0.68642,0.67711,1.06463,0.82304,0.75051,0.82206,0.62925,0.88389,0.94611,1.19761,0.000387077,0.000387077,0.000387077
39,182.292,0.68196,0.67787,1.05833,0.79511,0.76416,0.82051,0.63169,0.88756,0.89604,1.20399,0.000378242,0.000378242,0.000378242
40,186.939,0.6665,0.6633,1.04955,0.80209,0.79001,0.82993,0.63963,0.89556,0.81121,1.19953,0.000369406,0.000369406,0.000369406
41,191.616,0.68093,0.67253,1.05725,0.79926,0.7436,0.79704,0.62168,0.88562,0.88565,1.20138,0.00036057,0.00036057,0.00036057
42,196.361,0.67069,0.65484,1.05472,0.81022,0.78602,0.83711,0.65098,0.87728,0.80601,1.17404,0.000351734,0.000351734,0.000351734
43,201.002,0.65118,0.63106,1.04037,0.80455,0.78541,0.82146,0.63687,0.86452,0.83587,1.17024,0.000342899,0.000342899,0.000342899
44,205.714,0.66344,0.63363,1.03699,0.82242,0.76841,0.83162,0.63923,0.89751,0.84128,1.21148,0.000334063,0.000334063,0.000334063
45,210.36,0.65309,0.63686,1.04773,0.83194,0.76079,0.82674,0.64493,0.86438,0.8317,1.15795,0.000325227,0.000325227,0.000325227
46,214.975,0.63727,0.60275,1.03803,0.80907,0.7392,0.7997,0.62869,0.86643,0.97065,1.17368,0.000316391,0.000316391,0.000316391
