epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67135,0.92485,3.3502,1.28538,0.5531,0.10025,0.21557,0.16904,0.87928,2.98441,1.20125,0.000234098,0.000234098,0.000234098
2,13.2252,0.98693,2.35868,1.30322,0.39422,0.50382,0.41084,0.29969,1.01538,2.12775,1.32565,0.000448729,0.000448729,0.000448729
3,18.706,0.92911,1.83728,1.24542,0.47015,0.54626,0.5057,0.3759,1.00042,1.85225,1.30108,0.000639799,0.000639799,0.000639799
4,24.2439,0.94807,1.68618,1.24157,0.5949,0.61326,0.60446,0.46235,0.96552,1.58044,1.28171,0.000607971,0.000607971,0.000607971
5,29.7525,0.94122,1.62908,1.24289,0.65334,0.62536,0.67451,0.51344,0.929,1.45351,1.24914,0.000572628,0.000572628,0.000572628
6,35.0755,0.88027,1.46594,1.20445,0.64225,0.64304,0.67024,0.5226,0.91057,1.41454,1.23571,0.000537285,0.000537285,0.000537285
7,40.3893,0.85048,1.33564,1.16807,0.72242,0.64541,0.72296,0.55539,0.94067,1.31307,1.25438,0.000501942,0.000501942,0.000501942
8,45.9052,0.86779,1.31434,1.1794,0.73322,0.69416,0.74079,0.57367,0.89375,1.24874,1.22086,0.000466599,0.000466599,0.000466599
9,51.2207,0.84172,1.25977,1.16201,0.7273,0.70421,0.75585,0.58504,0.88169,1.20246,1.20286,0.000431256,0.000431256,0.000431256
10,56.5403,0.82717,1.18821,1.16383,0.74123,0.66345,0.74907,0.58373,0.89309,1.34227,1.2211,0.000395913,0.000395913,0.000395913
11,74.4438,0.76647,1.30874,1.12547,0.73138,0.70883,0.77202,0.60232,0.87431,1.12875,1.20103,0.00036057,0.00036057,0.00036057
12,79.7938,0.77185,1.18742,1.1249,0.78231,0.73747,0.80361,0.61818,0.87534,1.03439,1.19478,0.000325227,0.000325227,0.000325227
13,85.2495,0.72443,1.13109,1.097,0.78281,0.72436,0.78287,0.61367,0.84877,1.10203,1.18052,0.000289884,0.000289884,0.000289884
14,91.0045,0.71576,1.05308,1.08623,0.81249,0.77139,0.81441,0.63902,0.84906,0.95804,1.1668,0.000254541,0.000254541,0.000254541
15,96.1584,0.70403,1.02435,1.08,0.80212,0.77733,0.83457,0.64814,0.83748,0.94562,1.17072,0.000219198,0.000219198,0.000219198
16,100.677,0.68178,0.97361,1.05313,0.83429,0.77121,0.84436,0.66442,0.83242,0.95312,1.15906,0.000183855,0.000183855,0.000183855
17,105.292,0.6708,0.9285,1.06317,0.83078,0.79367,0.8534,0.67654,0.81291,0.89336,1.15265,0.000148512,0.000148512,0.000148512
18,110.348,0.66221,0.87378,1.03624,0.84441,0.77323,0.85118,0.67502,0.8117,0.89108,1.14469,0.000113169,0.000113169,0.000113169
19,115.403,0.63498,0.84427,1.03343,0.79614,0.79941,0.86128,0.68543,0.80985,0.8627,1.14313,7.7826e-05,7.7826e-05,7.7826e-05
20,120.357,0.61991,0.80218,1.0082,0.85023,0.78999,0.86522,0.69515,0.80054,0.83366,1.13362,4.2483e-05,4.2483e-05,4.2483e-05
